רבי עקיבא 7  ירושלים ישראל,1,ירושלים,3000,88,"בי""ס הניסויי יסודי", , ,,,,31.7791474,35.2179755
רבי עקיבא 7  ירושלים ישראל,1,ירושלים,3000,89,"בי""ס הניסויי יסודי",כ,כ,,,,31.7791474,35.2179755
רבי עקיבא 7  ירושלים ישראל,1,ירושלים,3000,90,"בי""ס הניסויי יסודי", , ,,,,31.7791474,35.2179755
רבי עקיבא 11  ירושלים ישראל,1,ירושלים,3000,93,"ביה""ס ניסויי -תיכון", , ,,,,31.7791474,35.2179755
נרקיס 11  ירושלים ישראל,1,ירושלים,3000,94,מרכז פדגוגי להוראה, , ,,,,31.7790837,35.2128209
שבטי ישראל 22  ירושלים ישראל,1,ירושלים,3000,116,מנהל קהילתי מורשה, , ,,,,31.7823159,35.2245196
שבטי ישראל 22  ירושלים ישראל,1,ירושלים,3000,117,מנהל קהילתי מורשה, , ,,,,31.7823159,35.2245196
שבטי ישראל 22  ירושלים ישראל,1,ירושלים,3000,118,מנהל קהילתי מורשה, , ,,,,31.7823159,35.2245196
שבטי ישראל 22  ירושלים ישראל,1,ירושלים,3000,119,מנהל קהילתי מורשה, , ,,,,31.7823159,35.2245196
שמעון הצדיק 23  ירושלים ישראל,1,ירושלים,3000,120,"בי""ס חב""ד בית חנה",כ, ,,,,31.7940675,35.2239884
יצחק אלחנן 4  ירושלים ישראל,1,ירושלים,3000,131,"בי""ס לאומנויות",כ, ,,,,31.7705251,35.2210256
יצחק אלחנן 4  ירושלים ישראל,1,ירושלים,3000,132,"בי""ס לאומנויות",כ, ,,,,31.7705251,35.2210256
יצחק אלחנן 4  ירושלים ישראל,1,ירושלים,3000,133,"בי""ס לאומנויות",כ, ,,,,31.7705251,35.2210256
יצחק אלחנן 4  ירושלים ישראל,1,ירושלים,3000,134,"בי""ס לאומנויות",כ,כ,,,,31.7705251,35.2210256
כט' בנובמבר 13  ירושלים ישראל,1,ירושלים,3000,135,בית חינוך - תיכון ערוני ג, , ,,,,31.768319,35.21371
יצחק אלחנן 4  ירושלים ישראל,1,ירושלים,3000,137,"בי""ס לאומנויות", , ,,,,31.7705251,35.2210256
הגדוד העברי 22  ירושלים ישראל,1,ירושלים,3000,149,"בי""ס סאלד הנרייטה", , ,,,,31.7670315,35.2145055
בן לברט 15  ירושלים ישראל,1,ירושלים,3000,150,"בי""ס אד רוטשילד יסודי", , ,,,,31.7708758,35.2099899
בן לברט 15  ירושלים ישראל,1,ירושלים,3000,151,"בי""ס אד רוטשילד יסודי", , ,,,,31.7708758,35.2099899
בן לברט 15  ירושלים ישראל,1,ירושלים,3000,154,"ביס ע""ש פולה בן גוריון", , ,,,,31.7708758,35.2099899
כט' בנובמבר 13  ירושלים ישראל,1,ירושלים,3000,155,בית חינוך - תיכון ערוני ג, , ,,,,31.768319,35.21371
בן לברט 15  ירושלים ישראל,1,ירושלים,3000,157,"בי""ס אד רוטשילד יסודי", , ,,,,31.7708758,35.2099899
בן לברט 15  ירושלים ישראל,1,ירושלים,3000,158,"בי""ס אד רוטשילד יסודי", , ,,,,31.7708758,35.2099899
בן לברט 15  ירושלים ישראל,1,ירושלים,3000,159,"בי""ס אד רוטשילד יסודי", , ,,,,31.7708758,35.2099899
הקרן הקיימת 14  ירושלים ישראל,1,ירושלים,3000,161.1,גמנסיה רחביה,כ,כ,אות ראשונה בשם משפחה,א,,31.7768072,35.2144996
